group1	group2	age_batch	comparison_variable	effect_size	pvalue	conf_lower	conf_upper	sample_size_group1	sample_size_group2	t_statistic	df	padj	genotype_pair	padj_format
HET	MUT	6-month old	HR_avg	3.88633093749991	0.814360316216916	-30.796112864939	38.5687747399388	8	9	0.239007785748511	14.8793117455033	0.897458307667622	HET-MUT	0.9
WT	HET	6-month old	Ad_avg	0.0438397261904757	0.598558233659914	-0.128049792226337	0.215729244607289	14	8	0.535981552065218	17.9300470578728	0.850727488185521	WT-HET	0.85
WT	MUT	6-month old	Ad_avg	0.308577809523811	0.00136870622497148	0.137031170614971	0.480124448432651	14	9	3.7779973559124	18.0759405197474	0.0102915816835911	WT-MUT	0.01
HET	MUT	6-month old	Ad_avg	0.264738083333335	9.08322500275812e-05	0.158204788517173	0.371271378149498	8	9	5.29926469505652	14.9173983614845	0.00490494150148939	HET-MUT	0.0049
WT	HET	6-month old	As_avg	0.0388567976190476	0.497577268774864	-0.0785048624980095	0.156218457736105	14	8	0.690990868989043	19.8398062359869	0.767690643252647	WT-HET	0.77
WT	MUT	6-month old	As_avg	0.207852325396825	0.000899117774130754	0.096083915049083	0.319620735744567	14	9	3.86954214599303	20.810337228209	0.00971047196061214	WT-MUT	0.0097
HET	MUT	6-month old	As_avg	0.168995527777778	0.00278375632039573	0.0685226857601454	0.26946836979541	8	9	3.59671072476327	14.4639044641124	0.0150322841301369	HET-MUT	0.015
WT	HET	6-month old	CO	1.67266783370292	0.80802378763484	-12.543684807225	15.8890204746308	14	8	0.246421639270278	18.8188022905068	0.897458307667622	WT-HET	0.9
WT	MUT	6-month old	CO	17.1982846264384	0.0210904815444994	2.8715988340022	31.5249704188746	14	9	2.50686285502774	19.6580864873291	0.0711803752126853	WT-MUT	0.071
HET	MUT	6-month old	CO	15.5256167927355	0.0132668995767404	3.73774707117539	27.3134865142956	8	9	2.80758645777757	14.9823561923923	0.0551086597803063	HET-MUT	0.055
WT	HET	6-month old	SA	0.00498292857142818	0.911153093099682	-0.0874384022890439	0.0974042594319003	14	8	0.113137709072186	18.3029528357485	0.944786976012777	WT-HET	0.94
WT	MUT	6-month old	SA	0.100725484126986	0.0421633166418828	0.00392957481061141	0.19752139344336	14	9	2.16924518149777	20.2035431131649	0.108419957079127	WT-MUT	0.11
HET	MUT	6-month old	SA	0.0957425555555577	0.0089354344685489	0.0278527361082296	0.163632375002886	8	9	3.01162393684416	14.6799579042751	0.0402094551084701	HET-MUT	0.04
